Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
92.  Senegal (5.132)*,TRUE,3.071465731,0.381438076,0.518067181,0.157963887,0.356634498,0.088379249,0.557899773,5.131800175,5.265870094,0.268139839,0.268139839,92,5.265870094,4.997730255
93.  Albania (5.117),TRUE,2.250219107,0.490977466,1.00799787,0.168454394,0.646319747,0.024444191,0.529002547,5.117400169,5.233521938,0.232243538,0.232243538,93,5.233521938,5.0012784
94.  North Macedonia (5.101),TRUE,2.042292356,0.449549496,1.068334699,0.212441877,0.53529048,0.021788299,0.771540582,5.101200104,5.201646805,0.200893402,0.200893402,94,5.201646805,5.000753403
95.  Ghana (5.088),TRUE,2.683517694,0.516858101,0.679500103,0.268442839,0.286866724,0.058129776,0.59512943,5.088399887,5.219008446,0.261217117,0.261217117,95,5.219008446,4.957791328
96.  Niger (5.074)*,TRUE,3.469615936,0.51639384,0.161512092,0.200008973,0.166986316,0.157391638,0.402237356,5.074100018,5.273253441,0.398306847,0.398306847,96,5.273253441,4.874946594
97.  Turkmenistan (5.066)*,TRUE,1.408565521,0.602257609,1.04602015,0.365950674,0.438751936,0.032710861,1.172134757,5.066400051,5.136306763,0.139813423,0.139813423,97,5.136306763,4.99649334
98.  Gambia (5.051)*,TRUE,2.990420341,0.383666545,0.367048293,0.464666277,0.210454166,0.123320393,0.511467934,5.051000118,5.22503376,0.348067284,0.348067284,98,5.22503376,4.876966476
99.  Benin (5.045),TRUE,3.48249507,0.457209289,0.507160604,0.165918276,0.196363002,0.177688062,0.05838564,5.045199871,5.189216137,0.288032532,0.288032532,99,5.189216137,4.901183605
100.        Laos (5.030),TRUE,2.203568935,0.642858803,0.807757676,0.268305391,0.330386102,0.179294586,0.597869754,5.03000021,5.118752956,0.177505493,0.177505493,100,5.118752956,4.941247463
101.        Bangladesh (5.025),TRUE,2.42713666,0.602648795,0.635474145,0.161001101,0.514059186,0.164317727,0.519957066,5.024600029,5.115278721,0.181357384,0.181357384,101,5.115278721,4.933921337
