,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
83124,42228,Martine Soffiatti Grael,F,25.0,168.0,62.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
86228,43708,Leandro Marques Guilheiro,M,21.0,176.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,Bronze
86229,43708,Leandro Marques Guilheiro,M,24.0,176.0,81.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Bronze
86306,43741,Henrique Carlos Serra Azul Guimares,M,23.0,172.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,Bronze
98339,49769,Carlos Eduardo Honorato,M,25.0,175.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,Silver
101753,51457,Diego Matias Hyplito,M,30.0,170.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Silver
103766,52500,Chiaki Ishii,M,30.0,180.0,93.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,Bronze
111172,56249,Juliana Felisberta da Silva,F,29.0,177.0,63.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
120291,60885,Felipe Eidji Kitadai,M,22.0,164.0,60.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Bronze
146271,73404,Maurren Higa Maggi,F,32.0,173.0,61.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,Gold
